Entity,Code_x,Year,Meningitis fatalities,Dementia fatalities,Parkinsons fatalities,Nutritional deficiency fatalities,Malaria fatalities,Drowning fatalities,Interpersonal violence fatalities,Maternal disorder fatalities,HIV/AIDS fatalities,Drug disorder fatalities,Tuberculosis fatalities,Cardiovascular fatalities,Lower respiratory fatalities,Neonatal disorder fatalities,Alcohol disorder fatalities,Self harm fatalities,Forces of nature fatalities,Diarrheal disease fatalities,Environmental exposure fatalities,Neoplasm fatalities,Conflict fatalities,Diabetes fatalities,Chronic kidney fatalities,Poisoning fatalities,Protein energy malnutrition fatalities,Road injury fatalities,Chronic respiratory fatalities,Chronic liver fatalities,Digestive disease fatalities,Fire fatalities,Acute hepatitis fatalities,Measles fatalities,Total Deaths,UHC Service Coverage Index (SDG 3.8.1)
Brunei,BRN,2000,2,10,5,1,0,17,5,2,2,3,18,326,33,24,1,12,0,2,0,241,0,101,32,1,1,59,75,20,39,4,4,0,1040,49.39087
Brunei,BRN,2001,2,11,6,1,0,17,5,2,2,2,18,326,33,24,1,12,0,2,0,246,0,103,33,1,1,57,73,20,38,4,4,0,1044,52.281088
Brunei,BRN,2002,2,11,6,1,0,16,5,2,2,2,17,336,36,25,1,13,0,2,1,257,0,108,34,1,0,56,75,20,38,4,4,0,1075,55.171306
Brunei,BRN,2003,2,12,7,1,0,16,5,2,3,2,17,349,38,26,1,14,0,2,1,273,0,115,37,1,0,56,76,20,39,4,4,0,1123,58.061524
Brunei,BRN,2004,2,12,7,1,0,16,5,2,3,2,17,355,41,25,1,15,0,2,1,287,0,120,39,1,0,56,76,20,39,4,4,0,1153,60.951741999999996
Brunei,BRN,2005,1,13,7,1,0,16,5,2,3,2,16,361,43,24,1,15,0,2,1,299,0,125,41,1,0,55,75,21,40,4,3,0,1177,63.84196
Brunei,BRN,2006,1,13,7,1,0,15,5,2,4,2,16,364,45,23,1,16,0,2,1,310,0,128,43,1,0,54,74,21,40,4,3,0,1196,65.008618
Brunei,BRN,2007,1,14,8,1,0,15,5,2,4,2,16,360,46,23,1,17,0,2,1,320,0,129,45,1,0,54,72,21,41,4,3,0,1208,66.175276
Brunei,BRN,2008,1,14,8,1,0,14,6,2,5,2,16,358,48,22,1,17,0,2,1,329,0,128,46,1,0,52,72,21,41,4,3,0,1215,67.34193400000001
Brunei,BRN,2009,1,15,8,1,0,13,6,2,5,2,16,368,51,22,1,17,0,2,1,345,0,131,49,1,0,51,73,22,42,4,3,0,1252,68.50859200000001
Brunei,BRN,2010,1,16,9,1,0,14,6,2,5,2,16,377,55,23,1,18,0,2,1,363,0,136,52,1,0,52,74,23,44,4,3,0,1301,69.67525
Brunei,BRN,2011,1,16,9,1,0,14,6,2,5,2,16,383,59,24,1,19,0,2,1,377,0,138,54,1,0,53,74,23,45,4,3,0,1333,70.76318
Brunei,BRN,2012,1,17,9,1,0,15,6,2,5,2,16,390,62,25,1,20,0,2,1,394,0,141,57,1,0,55,75,24,47,4,3,0,1376,71.85111
Brunei,BRN,2013,1,18,10,1,0,15,6,3,5,2,17,407,67,26,1,21,0,3,1,416,0,146,61,1,0,56,78,25,49,4,3,0,1443,72.93904
Brunei,BRN,2014,1,19,10,1,0,15,6,3,5,2,17,421,71,26,1,22,0,3,1,434,0,149,65,1,0,56,79,26,51,4,3,0,1492,74.02697
Brunei,BRN,2015,1,19,11,1,0,15,6,3,6,2,18,436,74,26,1,22,3,3,1,453,0,152,68,1,0,56,81,27,53,5,3,0,1547,75.1149
Brunei,BRN,2016,1,20,11,1,0,15,6,2,5,2,18,453,76,25,1,23,0,3,1,473,0,153,72,1,0,56,83,28,55,5,3,0,1592,76.39318
Brunei,BRN,2017,1,21,12,1,0,16,6,2,5,2,19,472,78,24,1,23,0,3,1,491,0,159,74,1,0,59,86,29,57,5,3,0,1651,77.67146
Brunei,BRN,2018,2,22,12,1,0,16,6,3,5,2,19,491,80,23,1,24,0,3,1,510,0,165,76,1,0,60,90,30,59,5,3,0,1710,77.40573499999999
Brunei,BRN,2019,2,24,13,1,0,16,6,3,5,2,19,508,82,23,2,25,0,3,1,528,0,171,78,1,0,61,93,31,61,5,3,0,1767,77.14001
Cambodia,KHM,2000,648,697,185,1907,967,1531,479,1423,6401,25,10454,17476,18788,7264,121,661,347,4921,4,7653,16,1897,1359,91,1794,2691,3175,5666,9159,251,189,2002,110242,23.90044
Cambodia,KHM,2001,617,732,192,1713,609,1519,466,1361,7121,25,10217,17860,17991,7049,115,669,56,4484,4,7822,5,1939,1379,90,1603,2733,3230,5815,9319,247,178,1786,108946,26.569556
Cambodia,KHM,2002,600,773,200,1552,633,1532,461,1291,7593,25,9860,18226,17390,6940,110,674,29,4159,4,8040,4,1986,1404,90,1446,2775,3295,5961,9484,247,198,672,107654,29.238672
Cambodia,KHM,2003,567,818,209,1377,916,1497,458,1196,7801,25,9423,18603,16573,6818,108,675,0,3814,4,8254,2,2038,1427,88,1276,2779,3363,6089,9623,242,221,227,106511,31.907788
Cambodia,KHM,2004,531,867,220,1222,747,1462,459,1119,7710,26,9024,19034,15782,6707,107,682,0,3484,4,8511,0,2101,1457,87,1125,2802,3438,6231,9775,238,251,87,105290,34.576904
Cambodia,KHM,2005,494,919,230,1088,487,1418,461,1021,7287,26,8650,19441,15054,6605,106,687,16,3174,4,8768,1,2162,1482,85,996,2810,3507,6351,9884,233,289,80,103816,37.24602
Cambodia,KHM,2006,454,973,241,964,822,1340,460,903,6523,26,8315,19856,14322,6510,105,681,5,2915,4,8999,1,2219,1506,81,876,2769,3572,6420,9933,225,326,126,102472,39.88968
Cambodia,KHM,2007,420,1030,253,867,442,1298,470,834,5541,27,8114,20408,13781,6412,106,690,2,2694,4,9318,2,2294,1548,80,782,2792,3657,6535,10045,221,368,326,101361,42.53334
Cambodia,KHM,2008,389,1089,266,785,490,1245,473,778,4628,28,7953,21017,13323,6291,107,693,0,2505,4,9629,1,2371,1587,78,703,2783,3748,6618,10120,217,406,381,100706,45.177
Cambodia,KHM,2009,357,1147,280,720,603,1199,479,711,3920,28,7835,21722,12918,6153,108,696,19,2360,4,9944,0,2456,1629,76,641,2774,3850,6705,10206,213,453,539,100745,47.820660000000004
