Entity,Year,Cardiovascular fatalities,Chronic kidney fatalities,Chronic liver fatalities,Chronic respiratory fatalities,Dementia fatalities,Diabetes fatalities,Diarrheal disease fatalities,Digestive disease fatalities,Forces of nature fatalities,HIV/AIDS fatalities,Interpersonal violence fatalities,Lower respiratory fatalities,Malaria fatalities,Measles fatalities,Neonatal disorder fatalities,Neoplasm fatalities,Nutritional deficiency fatalities,Parkinsons fatalities,Road injury fatalities,Self harm fatalities,Tuberculosis fatalities
Brunei,2000,326.0,32.0,20.0,75.0,0.0,101.0,0.0,39.0,0.0,0.0,0.0,33.0,0.0,0.0,24.0,241.0,0.0,0.0,59.0,0.0,0.0
Brunei,2001,326.0,33.0,20.0,73.0,0.0,103.0,0.0,38.0,0.0,0.0,0.0,33.0,0.0,0.0,24.0,246.0,0.0,0.0,57.0,0.0,0.0
Brunei,2002,336.0,34.0,20.0,75.0,0.0,108.0,0.0,38.0,0.0,0.0,0.0,36.0,0.0,0.0,25.0,257.0,0.0,0.0,56.0,0.0,0.0
Brunei,2003,349.0,37.0,20.0,76.0,0.0,115.0,0.0,39.0,0.0,0.0,0.0,38.0,0.0,0.0,26.0,273.0,0.0,0.0,56.0,0.0,0.0
Brunei,2004,355.0,39.0,20.0,76.0,0.0,120.0,0.0,39.0,0.0,0.0,0.0,41.0,0.0,0.0,25.0,287.0,0.0,0.0,56.0,0.0,0.0
Brunei,2005,361.0,41.0,21.0,75.0,0.0,125.0,0.0,40.0,0.0,0.0,0.0,43.0,0.0,0.0,24.0,299.0,0.0,0.0,55.0,0.0,0.0
Brunei,2006,364.0,43.0,21.0,74.0,0.0,128.0,0.0,40.0,0.0,0.0,0.0,45.0,0.0,0.0,23.0,310.0,0.0,0.0,54.0,0.0,0.0
Brunei,2007,360.0,45.0,21.0,72.0,0.0,129.0,0.0,41.0,0.0,0.0,0.0,46.0,0.0,0.0,23.0,320.0,0.0,0.0,54.0,0.0,0.0
Brunei,2008,358.0,46.0,21.0,72.0,0.0,128.0,0.0,41.0,0.0,0.0,0.0,48.0,0.0,0.0,22.0,329.0,0.0,0.0,52.0,0.0,0.0
Brunei,2009,368.0,49.0,22.0,73.0,0.0,131.0,0.0,42.0,0.0,0.0,0.0,51.0,0.0,0.0,22.0,345.0,0.0,0.0,51.0,0.0,0.0
Brunei,2010,377.0,52.0,23.0,74.0,0.0,136.0,0.0,44.0,0.0,0.0,0.0,55.0,0.0,0.0,23.0,363.0,0.0,0.0,52.0,0.0,0.0
Brunei,2011,383.0,54.0,23.0,74.0,0.0,138.0,0.0,45.0,0.0,0.0,0.0,59.0,0.0,0.0,24.0,377.0,0.0,0.0,53.0,0.0,0.0
Brunei,2012,390.0,57.0,24.0,75.0,0.0,141.0,0.0,47.0,0.0,0.0,0.0,62.0,0.0,0.0,25.0,394.0,0.0,0.0,55.0,0.0,0.0
Brunei,2013,407.0,61.0,25.0,78.0,0.0,146.0,0.0,49.0,0.0,0.0,0.0,67.0,0.0,0.0,26.0,416.0,0.0,0.0,56.0,0.0,0.0
Brunei,2014,421.0,65.0,26.0,79.0,0.0,149.0,0.0,51.0,0.0,0.0,0.0,71.0,0.0,0.0,26.0,434.0,0.0,0.0,56.0,0.0,0.0
Brunei,2015,436.0,68.0,27.0,81.0,0.0,152.0,0.0,53.0,0.0,0.0,0.0,74.0,0.0,0.0,26.0,453.0,0.0,0.0,56.0,0.0,0.0
Brunei,2016,453.0,72.0,28.0,83.0,0.0,153.0,0.0,55.0,0.0,0.0,0.0,76.0,0.0,0.0,25.0,473.0,0.0,0.0,56.0,0.0,0.0
Brunei,2017,472.0,74.0,29.0,86.0,0.0,159.0,0.0,57.0,0.0,0.0,0.0,78.0,0.0,0.0,24.0,491.0,0.0,0.0,59.0,0.0,0.0
Brunei,2018,491.0,76.0,30.0,90.0,0.0,165.0,0.0,59.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,510.0,0.0,0.0,60.0,24.0,0.0
Brunei,2019,508.0,78.0,31.0,93.0,0.0,171.0,0.0,61.0,0.0,0.0,0.0,82.0,0.0,0.0,0.0,528.0,0.0,0.0,61.0,25.0,0.0
Cambodia,2000,17476.0,0.0,5666.0,3175.0,0.0,0.0,4921.0,9159.0,0.0,6401.0,0.0,18788.0,0.0,0.0,7264.0,7653.0,0.0,0.0,0.0,0.0,10454.0
Cambodia,2001,17860.0,0.0,5815.0,3230.0,0.0,0.0,4484.0,9319.0,0.0,7121.0,0.0,17991.0,0.0,0.0,7049.0,7822.0,0.0,0.0,0.0,0.0,10217.0
Cambodia,2002,18226.0,0.0,5961.0,3295.0,0.0,0.0,4159.0,9484.0,0.0,7593.0,0.0,17390.0,0.0,0.0,6940.0,8040.0,0.0,0.0,0.0,0.0,9860.0
Cambodia,2003,18603.0,0.0,6089.0,3363.0,0.0,0.0,3814.0,9623.0,0.0,7801.0,0.0,16573.0,0.0,0.0,6818.0,8254.0,0.0,0.0,0.0,0.0,9423.0
Cambodia,2004,19034.0,0.0,6231.0,3438.0,0.0,0.0,3484.0,9775.0,0.0,7710.0,0.0,15782.0,0.0,0.0,6707.0,8511.0,0.0,0.0,0.0,0.0,9024.0
Cambodia,2005,19441.0,0.0,6351.0,3507.0,0.0,0.0,3174.0,9884.0,0.0,7287.0,0.0,15054.0,0.0,0.0,6605.0,8768.0,0.0,0.0,0.0,0.0,8650.0
Cambodia,2006,19856.0,0.0,6420.0,3572.0,0.0,0.0,2915.0,9933.0,0.0,6523.0,0.0,14322.0,0.0,0.0,6510.0,8999.0,0.0,0.0,0.0,0.0,8315.0
Cambodia,2007,20408.0,0.0,6535.0,3657.0,0.0,0.0,0.0,10045.0,0.0,5541.0,0.0,13781.0,0.0,0.0,6412.0,9318.0,0.0,0.0,2792.0,0.0,8114.0
Cambodia,2008,21017.0,0.0,6618.0,3748.0,0.0,0.0,0.0,10120.0,0.0,4628.0,0.0,13323.0,0.0,0.0,6291.0,9629.0,0.0,0.0,2783.0,0.0,7953.0
Cambodia,2009,21722.0,0.0,6705.0,3850.0,0.0,0.0,0.0,10206.0,0.0,3920.0,0.0,12918.0,0.0,0.0,6153.0,9944.0,0.0,0.0,2774.0,0.0,7835.0
Cambodia,2010,22564.0,0.0,6846.0,3971.0,0.0,0.0,0.0,10371.0,0.0,3361.0,0.0,12732.0,0.0,0.0,5991.0,10345.0,0.0,0.0,2800.0,0.0,7741.0
Cambodia,2011,23410.0,0.0,6959.0,4090.0,0.0,0.0,0.0,10494.0,0.0,2875.0,0.0,12492.0,0.0,0.0,5779.0,10723.0,0.0,0.0,2790.0,0.0,7551.0
Cambodia,2012,24179.0,0.0,7085.0,4186.0,0.0,2768.0,0.0,10631.0,0.0,0.0,0.0,12429.0,0.0,0.0,5609.0,11114.0,0.0,0.0,2801.0,0.0,7350.0
Cambodia,2013,24962.0,0.0,7208.0,4281.0,0.0,2876.0,0.0,10757.0,0.0,0.0,0.0,12281.0,0.0,0.0,5423.0,11526.0,0.0,0.0,2804.0,0.0,7134.0
Cambodia,2014,25734.0,0.0,7369.0,4379.0,0.0,2984.0,0.0,10941.0,0.0,0.0,0.0,12303.0,0.0,0.0,5264.0,11963.0,0.0,0.0,2828.0,0.0,6934.0
